Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2022,9242,,
1/2/2022,8910,,
1/3/2022,9259,,
1/4/2022,9235,,
1/5/2022,9360,,
1/6/2022,9617,,
1/7/2022,9652,,
1/8/2022,9398,,
1/9/2022,9729,,
1/10/2022,10038,,
1/11/2022,10116,,
1/12/2022,10119,,
1/13/2022,9185,,
1/14/2022,8732,,
1/15/2022,8512,,
1/16/2022,8119,,
1/17/2022,8370,,
1/18/2022,8813,,
1/19/2022,9006,,
1/20/2022,9306,,
1/21/2022,9505,,
1/22/2022,9816,,
1/23/2022,9972,,
1/24/2022,10025,,
1/25/2022,10012,,
1/26/2022,9826,,
1/27/2022,9567,,
1/28/2022,9679,,
1/29/2022,10004,,
1/30/2022,10014,,
1/31/2022,10043,,
2/1/2022,10095,19.57,30.47
2/2/2022,10335,19.15,30.55
2/3/2022,9583,19.75,30.73
2/4/2022,10386,21.75,30.52
2/5/2022,10896,21.58,31.03
2/6/2022,11018,20.95,31.65
2/7/2022,11342,20,30.4
2/8/2022,11154,19.9,30.65
2/9/2022,10954,20.7,30.73
2/10/2022,10954,19.42,30.28
2/11/2022,10732,20.25,31.03
2/12/2022,10501,21.1,30.88
2/13/2022,10883,20.93,30.8
2/14/2022,10603,19.32,29.93
2/15/2022,10628,19.87,30.43
2/16/2022,10870,19.73,30.52
2/17/2022,10774,19.85,30.82
2/18/2022,10811,21.33,31
2/19/2022,10208,21.22,31.28
2/20/2022,10540,20.98,31.63
2/21/2022,10871,21.08,32.53
2/22/2022,10638,22.45,33.55
2/23/2022,10943,22.55,32.8
2/24/2022,11056,21.35,32.13
2/25/2022,10880,20.05,31.92
2/26/2022,10997,19.93,31.78
2/27/2022,11043,20.9,31.77
2/28/2022,10906,19.72,32.12
3/1/2022,11058,20.6,33.6
3/2/2022,10943,21.2,34
3/3/2022,11098,22.5,33.4
3/4/2022,10844,22.1,33.7
3/5/2022,11093,22.3,33
3/6/2022,11134,23,34.3
3/7/2022,11212,22,34.4
3/8/2022,11339,22.5,35.2
3/9/2022,11474,23,35.4
3/10/2022,11724,22.8,35
3/11/2022,11454,22.4,35.3
3/12/2022,10965,21.8,35.7
3/13/2022,11336,22.3,36.6
3/14/2022,11751,22.4,35.6
3/15/2022,11810,22.3,36.4
3/16/2022,11776,21.5,36.2
3/17/2022,11990,23,37.5
3/18/2022,11825,24.3,35.9
3/19/2022,11431,24.7,34.3
3/20/2022,11428,24.5,35.2
3/21/2022,11428,26.8,35.2
3/22/2022,11233,26.8,35.6
3/23/2022,11499,27,36.1
3/24/2022,11566,26,35.2
3/25/2022,11676,25.5,34.8
3/26/2022,11845,25.4,35.2
3/27/2022,11934,25.5,35.7
3/28/2022,12032,25.5,35.4
3/29/2022,11163,25.6,34.7
3/30/2022,11161,26,35.6
3/31/2022,11556,27.3,35.7
4/1/2022,12021,26.7,34.7
4/2/2022,11775,26.6,35
4/3/2022,11448,25.4,34
4/4/2022,11700,25.8,34.9
4/5/2022,11770,25.7,35.4
4/6/2022,11770,24.8,35.4
4/7/2022,11770,25.1,35.6
4/8/2022,12293,25,35.9
4/9/2022,10909,26.6,35.8
4/10/2022,11042,25.8,36.2
4/11/2022,11362,25.6,35.6
4/12/2022,11259,25.8,35.4
4/13/2022,11260,26.2,36.4
4/14/2022,11334,26.9,36.9
4/15/2022,11385,26.6,36
4/16/2022,11110,27.8,36.1
4/17/2022,10295,27.8,36.2
4/18/2022,10655,27.6,36.9
4/19/2022,10847,27,37.7
4/20/2022,10751,27,36.7
4/21/2022,11045,27.4,36.9
4/22/2022,11079,27,36.2
4/23/2022,11072,26.9,36.9
4/24/2022,10984,27.5,37
4/25/2022,11338,27.8,38.2
4/26/2022,11400,27.4,37
4/27/2022,11317,27.3,36.9
4/28/2022,11488,27.7,37.1
4/29/2022,11560,27.2,36.8
4/30/2022,11767,28.2,37.3
5/1/2022,10905,27.9,38.7
5/2/2022,10724,28.8,37.1
5/3/2022,10815,29,36.9
5/4/2022,9711,28.5,37.5
5/5/2022,10402,28,34.9
5/6/2022,10468,28,37.4
5/7/2022,9765,26.5,37.2
5/8/2022,9711,28.7,38.1
5/9/2022,9746,27.4,37.8
5/10/2022,7779,27.9,39.4
5/11/2022,7070,26.3,31.6
5/12/2022,7452,26.5,28.6
5/13/2022,8048,27.2,33.2
5/14/2022,8461,28,35.3
5/15/2022,8596,28.7,37.2
5/16/2022,8596,28.8,36.6
5/17/2022,9308,28.7,37
5/18/2022,9040,29.2,36.5
5/19/2022,8784,27.9,37
5/20/2022,8652,29,35.7
5/21/2022,8831,27.1,37.7
5/22/2022,9025,28.5,38.9
5/23/2022,9844,30.5,40.8
5/24/2022,9844,29.9,41.9
5/25/2022,9701,23.6,43
5/26/2022,10520,,
5/27/2022,9758,28.3,37.4
5/28/2022,10413,28.9,35.6
5/29/2022,10486,29.2,43
5/30/2022,11218,30.6,43.1
5/31/2022,10952,28.7,41.6
6/1/2022,10954,29.8,43
6/2/2022,11484,31.4,42.6
6/3/2022,11352,30.3,43.3
6/4/2022,11389,30.1,40.9
6/5/2022,11371,29.7,42.2
6/6/2022,8509,26.1,36.5
6/7/2022,9742,,
6/8/2022,10249,29.9,38.2
6/9/2022,10822,30.7,42.2
6/10/2022,11079,30.6,41.9
6/11/2022,11115,30.4,41.4
6/12/2022,11124,29.7,40.5
6/13/2022,10506,26.7,39.5
