State,Year,Sector,Consumption (%)
Tamil Nadu,2015-16,Agriculture,10.39
Tamil Nadu,2015-16,Commercial,8.50
Tamil Nadu,2015-16,Domestic,21.52
Tamil Nadu,2015-16,Industrial,32.84
Tamil Nadu,2015-16,Others,0.55
Tamil Nadu,2015-16,Public Services,3.22
Tamil Nadu,2015-16,Railways,0.75
Tamil Nadu,2016-17,Agriculture,10.55
Tamil Nadu,2016-17,Commercial,8.36
Tamil Nadu,2016-17,Domestic,22.06
Tamil Nadu,2016-17,Industrial,35.72
Tamil Nadu,2016-17,Others,2.86
Tamil Nadu,2016-17,Public Services,2.16
Tamil Nadu,2016-17,Railways,0.77
Tamil Nadu,2017-18,Agriculture,10.12
Tamil Nadu,2017-18,Commercial,8.92
Tamil Nadu,2017-18,Domestic,23.22
Tamil Nadu,2017-18,Industrial,37.29
Tamil Nadu,2017-18,Others,2.66
Tamil Nadu,2017-18,Public Services,2.02
Tamil Nadu,2017-18,Railways,0.77
Tamil Nadu,2018-19,Agriculture,11.76
Tamil Nadu,2018-19,Commercial,9.25
Tamil Nadu,2018-19,Domestic,24.28
Tamil Nadu,2018-19,Industrial,37.41
Tamil Nadu,2018-19,Others,2.80
Tamil Nadu,2018-19,Public Services,2.05
Tamil Nadu,2018-19,Railways,0.81
Tamil Nadu,2019-20,Agriculture,12.44
Tamil Nadu,2019-20,Commercial,9.84
Tamil Nadu,2019-20,Domestic,26.21
Tamil Nadu,2019-20,Industrial,39.16
Tamil Nadu,2019-20,Others,2.57
Tamil Nadu,2019-20,Public Services,2.07
Tamil Nadu,2019-20,Railways,0.87
Tamil Nadu,2020-21,Agriculture,12.57
Tamil Nadu,2020-21,Commercial,8.07
Tamil Nadu,2020-21,Domestic,29.43
Tamil Nadu,2020-21,Industrial,36.34
Tamil Nadu,2020-21,Others,2.63
Tamil Nadu,2020-21,Public Services,2.32
Tamil Nadu,2020-21,Railways,0.51
Tamil Nadu,2021-22,Agriculture,12.08
Tamil Nadu,2021-22,Commercial,9.30
Tamil Nadu,2021-22,Domestic,30.55
Tamil Nadu,2021-22,Industrial,40.92
Tamil Nadu,2021-22,Others,2.10
Tamil Nadu,2021-22,Public Services,2.38
Tamil Nadu,2021-22,Railways,0.91
Tamil Nadu,2022-23,Agriculture,12.79
Tamil Nadu,2022-23,Commercial,10.32
Tamil Nadu,2022-23,Domestic,27.52
Tamil Nadu,2022-23,Industrial,42.40
Tamil Nadu,2022-23,Others,2.96
Tamil Nadu,2022-23,Public Services,2.79
Tamil Nadu,2022-23,Railways,1.22
