Year,Month,Peak Demand (in MW)
2024-25,Jan,16063
2024-25,Feb,16783
2024-25,Mar,18053
2024-25,Apr,20701
2024-25,May,20830
2024-25,Jun,18771
2024-25,Jul,18542
2024-25,Aug,18052.50982
2024-25,Sep,19399
2024-25,Oct,18113
2024-25,Nov,16872
2024-25,Dec,16307
2023-24,Jan,15920
2023-24,Feb,17044.81
2023-24,Mar,17044.81
2023-24,Apr,19387
2023-24,May,18658
2023-24,Jun,18527
2023-24,Jul,17774
2023-24,Aug,18252
2023-24,Sep,17074
2023-24,Oct,17484
2023-24,Nov,16099
2023-24,Dec,16099
2022-23,Jan,16063
2022-23,Feb,16783
2022-23,Mar,18053
2022-23,Apr,17646
2022-23,May,16906
2022-23,Jun,16906
2022-23,Jul,16243
2022-23,Aug,16058
2022-23,Sep,16390
2022-23,Oct,15532
2022-23,Nov,15070
2022-23,Dec,15663
2021-22,Jan,15290
2021-22,Feb,16262
2021-22,Mar,17196
2021-22,Apr,16846
2021-22,May,15957
2021-22,Jun,16040
2021-22,Jul,15579
2021-22,Aug,16029
2021-22,Sep,15927
2021-22,Oct,14712
2021-22,Nov,13501
2021-22,Dec,14501
2020-21,Jan,14163
2020-21,Feb,15298
2020-21,Mar,16481
2020-21,Apr,11577
2020-21,May,14343
2020-21,Jun,14855
2020-21,Jul,13589
2020-21,Aug,14491
2020-21,Sep,14836
2020-21,Oct,14564
2020-21,Nov,15298
2020-21,Dec,14238
2019-20,Jan,14719
2019-20,Feb,15128
2019-20,Mar,15591
2019-20,Apr,16386
2019-20,May,16014
2019-20,Jun,14419
2019-20,Jul,14104
2019-20,Aug,16386
2019-20,Sep,15133
2019-20,Oct,14701
2019-20,Nov,14213
2019-20,Dec,13978
2018-19,Jan,14971
2018-19,Feb,15562
2018-19,Mar,16129
2018-19,Apr,15457
2018-19,May,15192
2018-19,Jun,15191
2018-19,Jul,15139
2018-19,Aug,15025
2018-19,Sep,14971
2018-19,Oct,14971
2018-19,Nov,14971
2018-19,Dec,14971
2017-18,Jan,14406
2017-18,Feb,14685
2017-18,Mar,15251
2017-18,Apr,15196
2017-18,May,15072
2017-18,Jun,14830
2017-18,Jul,14922
2017-18,Aug,13956
2017-18,Sep,14037
2017-18,Oct,13716
2017-18,Nov,14561
2017-18,Dec,13890
2016-17,Jan,14012
2016-17,Feb,14000
2016-17,Mar,14613
2016-17,Apr,15107
2016-17,May,15023
2016-17,Jun,14640
2016-17,Jul,14723
2016-17,Aug,14431
2016-17,Sep,14597
2016-17,Oct,14688
2016-17,Nov,14163
2016-17,Dec,13584
2015-16,Jan,13576
2015-16,Feb,14537
2015-16,Mar,14567
2015-16,Apr,12969
2015-16,May,13295
2015-16,Jun,13278
2015-16,Jul,14615
2015-16,Aug,13757
2015-16,Sep,13833
2015-16,Oct,13307
2015-16,Nov,12481
2015-16,Dec,12684
