Year,Power Purchase Quantum (in MU),Company,Company Name,Source,Percentage Share (%),Weighted Avg. Cost (Rs./kWh)
2015-16,529.97,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Bio Power,0.65,3.60
2015-16,49558.54,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Coal,60.53,3.99
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Decentralized Mini Grids,N.A.,N.A.
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Diesel,N.A.,N.A.
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Hybrid Bundled,N.A.,N.A.
2015-16,4025.00,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Hydro,4.92,1.96
2015-16,5006.47,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Nuclear,6.11,2.83
2015-16,2404.89,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Oil & Gas,2.94,4.75
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
2015-16,23.55,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Other Res,0.03,1.70
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Small Hydro,N.A.,N.A.
2015-16,69.09,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Solar,0.08,5.21
2015-16,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Storage,N.A.,N.A.
2015-16,17381.76,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Trading & Others,21.23,5.17
2015-16,2879.79,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Wind,3.52,3.29
2016-17,663.88,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Bio Power,0.75,2.92
2016-17,49062.99,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Coal,55.33,4.28
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Decentralized Mini Grids,N.A.,N.A.
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Diesel,N.A.,N.A.
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Hybrid Bundled,N.A.,N.A.
2016-17,2492.00,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Hydro,2.81,3.96
2016-17,7977.34,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Nuclear,9.00,2.99
2016-17,2665.38,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Oil & Gas,3.01,5.23
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
2016-17,67.32,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,Other Res,0.08,2.09
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
2016-17,N.A.,TANGEDCO,Tamil Nadu Generation and Distribution Corporation Limited,,N.A.,N.A.
