State,Year,Price Category,Price (in Rs.Lakh Crore)
Tamil Nadu,2011-12,current,7.51486
Tamil Nadu,2012-13,current,8.54825
Tamil Nadu,2013-14,current,9.6853
Tamil Nadu,2014-15,current,10.72678
Tamil Nadu,2015-16,current,11.765
Tamil Nadu,2016-17,current,13.02639
Tamil Nadu,2017-18,current,14.65051
Tamil Nadu,2018-19,current,16.30209
Tamil Nadu,2019-20,current,17.43144
Tamil Nadu,2020-21,current,17.88074
Tamil Nadu,2021-22,current,20.72496
Tamil Nadu,2022-23,current,23.93364
Tamil Nadu,2023-24,current,27.21571
,,,
