Year,Sub-Category,Category,Company,Tariff (Rs./kWh)
2021-22,LT,Agriculture,TANGEDCO,3.22
2021-22,HT,Agriculture,TANGEDCO,6.35
2021-22,LT,Commercial,TANGEDCO,5.75
2021-22,HT,Commercial,TANGEDCO,6.35
2021-22,LT,Domestic,TANGEDCO,4.30
2021-22,HT,Domestic,TANGEDCO,NaN
2021-22,LT,Industrial,TANGEDCO,5.47
2021-22,HT,Industrial,TANGEDCO,6.35
2022-23,LT,Agriculture,TANGEDCO,4.46
2022-23,HT,Agriculture,TANGEDCO,NaN
2022-23,LT,Commercial,TANGEDCO,8.00
2022-23,HT,Commercial,TANGEDCO,7.00
2022-23,LT,Domestic,TANGEDCO,8.08
2022-23,HT,Domestic,TANGEDCO,NaN
2022-23,LT,Industrial,TANGEDCO,6.50
2022-23,HT,Industrial,TANGEDCO,6.75
2023-24,LT,Agriculture,TANGEDCO,4.60
2023-24,HT,Agriculture,TANGEDCO,NaN
2023-24,LT,Commercial,TANGEDCO,8.15
2023-24,HT,Commercial,TANGEDCO,7.15
2023-24,LT,Domestic,TANGEDCO,8.26
2023-24,HT,Domestic,TANGEDCO,NaN
2023-24,LT,Industrial,TANGEDCO,6.64
2023-24,HT,Industrial,TANGEDCO,6.90
